"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\Danny\Desktop\arenas-gym\app\src\App.jsx", "JavaScript JSX", 0, 53, 0, 1, 5, 59
"c:\Users\Danny\Desktop\arenas-gym\app\src\app.module.css", "CSS", 0, 0, 15, 0, 2, 17
"c:\Users\Danny\Desktop\arenas-gym\app\src\components\admin\class-form\form.module.css", "CSS", 0, 0, 82, 4, 15, 101
"c:\Users\Danny\Desktop\arenas-gym\app\src\components\admin\class-form\index.jsx", "JavaScript JSX", 0, 289, 0, 1, 15, 305
"c:\Users\Danny\Desktop\arenas-gym\app\src\components\admin\contracts\form\form.module.css", "CSS", 0, 0, 99, 0, 17, 116
"c:\Users\Danny\Desktop\arenas-gym\app\src\components\admin\contracts\form\index.jsx", "JavaScript JSX", 0, 200, 0, 11, 13, 224
"c:\Users\Danny\Desktop\arenas-gym\app\src\components\admin\contracts\list\index.jsx", "JavaScript JSX", 0, 103, 0, 1, 11, 115
"c:\Users\Danny\Desktop\arenas-gym\app\src\components\admin\contracts\list\list.module.css", "CSS", 0, 0, 85, 0, 17, 102
"c:\Users\Danny\Desktop\arenas-gym\app\src\components\admin\trainers\form\form.module.css", "CSS", 0, 0, 90, 0, 16, 106
"c:\Users\Danny\Desktop\arenas-gym\app\src\components\admin\trainers\form\index.jsx", "JavaScript JSX", 0, 346, 0, 1, 15, 362
"c:\Users\Danny\Desktop\arenas-gym\app\src\components\admin\trainers\list\index.jsx", "JavaScript JSX", 0, 104, 0, 1, 10, 115
"c:\Users\Danny\Desktop\arenas-gym\app\src\components\admin\trainers\list\list.module.css", "CSS", 0, 0, 70, 0, 14, 84
"c:\Users\Danny\Desktop\arenas-gym\app\src\components\admin\trainers\profile\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 1, 1
"c:\Users\Danny\Desktop\arenas-gym\app\src\components\admin\trainers\profile\profile.modules.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\Danny\Desktop\arenas-gym\app\src\components\landing\index.jsx", "JavaScript JSX", 0, 116, 0, 1, 6, 123
"c:\Users\Danny\Desktop\arenas-gym\app\src\components\landing\landing.module.css", "CSS", 0, 0, 78, 0, 10, 88
"c:\Users\Danny\Desktop\arenas-gym\app\src\components\login\index.jsx", "JavaScript JSX", 0, 90, 0, 1, 7, 98
"c:\Users\Danny\Desktop\arenas-gym\app\src\components\login\login.module.css", "CSS", 0, 0, 73, 0, 12, 85
"c:\Users\Danny\Desktop\arenas-gym\app\src\components\members\form\form.module.css", "CSS", 0, 0, 91, 0, 16, 107
"c:\Users\Danny\Desktop\arenas-gym\app\src\components\members\form\index.jsx", "JavaScript JSX", 0, 472, 0, 20, 22, 514
"c:\Users\Danny\Desktop\arenas-gym\app\src\components\members\list\index.jsx", "JavaScript JSX", 0, 130, 0, 1, 9, 140
"c:\Users\Danny\Desktop\arenas-gym\app\src\components\members\list\list.module.css", "CSS", 0, 0, 71, 0, 14, 85
"c:\Users\Danny\Desktop\arenas-gym\app\src\components\schedule\index.jsx", "JavaScript JSX", 0, 393, 0, 1, 17, 411
